,size,html_len,number_of_links,number_of_buttons,number_of_inputs,number_of_ul,number_of_ol,number_of_lists,number_of_h1,number_of_h2,total_h1_len,total_h2_len,avg_h1_len,avg_h2_len,number_of_images,number_of_tags,number_of_unique_tags,textdata
0,362460,60397,143,3,11,2,0,2,1,1,32,8,32.0,8.0,57,621,31,jetnation fanduel league week 4 comments
1,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
2,370308,61705,150,3,11,3,0,3,1,1,52,8,52.0,8.0,59,658,30,2017 fantasy football team defense rankings – week 5 comments
3,418878,69800,152,3,11,2,0,2,1,1,40,8,40.0,8.0,61,696,33,just shut up play some damn baseball comments
4,388818,64790,140,3,11,6,0,6,1,1,83,8,83.0,8.0,56,643,32,107 chuck axed hbd brickyard adam moonlight ace chuck as season finales comments
5,351648,58595,138,3,11,2,0,2,1,1,68,8,68.0,8.0,54,603,30,trump bemoans ‘little appreciation’ as san juan mayor begs for water comments
6,352554,58746,138,3,11,2,0,2,1,1,64,8,64.0,8.0,54,603,30,in meeting with military trump talks of calm before the storm comments
7,351726,58608,138,3,11,2,0,2,1,1,58,8,58.0,8.0,54,603,30,teacher sparks outrage by asking kids to make nazi mascots comments
8,402954,67146,140,3,11,6,0,6,1,1,119,8,119.0,8.0,56,638,32,928 through the 40s the gloaming hbd bill lou cy the third everett cy leon buck clarke honoredtiny 2hitter comments
9,384804,64121,144,3,11,2,0,2,1,1,71,8,71.0,8.0,53,637,33,hillary clinton suggests that trump may order the murder of journalists comments
10,396294,66036,140,3,11,6,0,6,1,1,71,8,71.0,8.0,56,643,32,929 through the 40s hbd cannonball paul camnitz clan game stories comments
11,380286,63368,139,3,11,5,0,5,1,1,68,8,68.0,8.0,55,625,32,103 expo parkforbes field era pirates grays ws win game stories comments
12,379974,63316,139,3,11,2,0,2,1,1,36,8,36.0,8.0,54,618,32,blackhawks roster breakdown goalies comments
13,384480,64067,144,3,11,2,0,2,1,1,99,8,99.0,8.0,54,652,32,cyclebar westgate west hosts benefit cycle ride to help ‘fragile bone disease’ foundation on oct 7 comments
14,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
15,383046,63828,140,3,11,6,0,6,1,1,106,8,106.0,8.0,56,634,32,101 expo parkforbes field era deacon whips cy in 1st ws game waners 237 hits boss man roberto more comments
16,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
17,369750,61612,149,3,11,3,0,3,1,1,46,8,46.0,8.0,59,653,30,2017 fantasy football kicker rankings – week 4 comments
18,409500,68237,153,3,11,2,0,2,1,1,47,8,47.0,8.0,59,677,32,a problem for the wild card game sanchez comments
19,372726,62108,145,3,11,3,0,3,1,1,52,8,52.0,8.0,59,673,30,2017 fantasy football running back rankings – week 5 comments
20,357726,59608,141,3,11,2,0,2,1,1,42,8,42.0,8.0,53,613,30,what would happen to you in the microwave comments
21,361104,60171,139,3,11,2,0,2,1,1,40,8,40.0,8.0,53,630,31,ravens vs steelers – fridaygame status comments
22,372918,62140,147,3,11,2,0,2,1,1,72,8,72.0,8.0,57,628,32,newton laughs at female reporter after asking a question about wr routes comments
23,364344,60711,140,3,11,2,0,2,1,1,97,8,97.0,8.0,53,609,30,las vegas police deny nfl’s michael bennett was racially profiled as video rebuts player’s claims comments
24,288242,57633,140,3,11,6,0,6,1,1,83,8,83.0,8.0,56,643,32,107 chuck axed hbd brickyard adam moonlight ace chuck as season finales comments
25,359022,59824,140,3,11,2,0,2,1,1,34,8,34.0,8.0,54,616,30,pumpkin spiced white hot chocolate comments
26,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
27,361392,60219,139,3,13,3,0,3,1,1,80,8,80.0,8.0,58,624,32,nibiru final warning ‘just how long does earth have left before planet x doom’ comments
28,233400,38887,44,0,5,2,0,2,2,1,73,29,36.5,29.0,13,294,30,in 2000 the simpsons predicted the donald trump presidency post navigation subscribe to our mailing list
29,365064,60831,141,3,11,2,0,2,1,1,87,8,87.0,8.0,53,610,30,are dems’ latenight sock puppets a sign that the fairness doctrine should be restored comments
30,532002,88654,171,3,19,6,0,6,1,1,111,8,111.0,8.0,76,786,34,very violent reversal before end of 2017 north korea thinks us is bluffing – james rickards greg hunter video comments
31,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
32,232602,38754,43,0,5,2,0,2,2,1,99,29,49.5,29.0,13,290,30,mom puts glasses on her baby – watch her face as she sees her dad for the first time post navigation subscribe to our mailing list
33,113598,18920,48,1,2,5,0,5,2,0,105,0,52.5,0.0,7,192,24,we cant find that page yet feel free to let us know about it maybe we have what youre looking for here
34,370656,61763,144,3,11,2,0,2,1,1,51,8,51.0,8.0,57,624,31,lawrence thomas officially makes switch to fullback comments
35,351954,58646,138,3,11,2,0,2,1,1,66,8,66.0,8.0,54,603,30,las vegas shooting makes country guitarist change his mind on guns comments
36,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
37,368274,61366,137,3,11,2,0,2,1,1,54,8,54.0,8.0,53,622,31,some tips for selecting the best flower bouquet online comments
38,362646,60428,136,3,11,2,0,2,1,1,61,8,61.0,8.0,54,609,31,kids fitnessget the kids off the couch have some fun comments
39,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
40,351330,58542,138,3,11,2,0,2,1,1,47,8,47.0,8.0,54,603,30,where is president trump’s sense of compassion comments
41,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
42,350874,58466,138,3,11,2,0,2,1,1,61,8,61.0,8.0,54,603,30,jimmy kimmel weeps as he talks about shooting in his hometown comments
43,241758,40280,44,0,5,2,0,2,2,1,67,29,33.5,29.0,14,305,31,mom fights back home invaders on detroits west side a detroit mother opened fire monday night when 3 suspect broke into her home mom fights back home invaders on detroit’s west side post navigation subscribe to our mailing list
44,362304,60371,142,3,11,2,0,2,1,1,66,8,66.0,8.0,55,617,31,gatekeeper invades the 312 podcastto preview the blackhawks season comments
45,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
46,378006,62988,139,3,11,5,0,5,1,1,85,8,85.0,8.0,55,630,32,105 trspnc park bucs win in 71 79 lose four playoffs dang reds tracy fired comments
47,360822,60124,136,3,11,2,0,2,1,1,45,8,45.0,8.0,53,596,31,broken2th and crystal sun release castaliah comments
48,863,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
49,373308,62205,145,3,11,2,0,2,1,1,43,8,43.0,8.0,59,651,31,a look at the thursday night football games comments
50,249804,41621,42,0,5,2,1,3,2,1,76,29,38.0,29.0,14,333,30,some had been carrying the living male dna inside them for well over 50 years sperm is alive it is living cells women absorb and retain dna from every man they have sex with post navigation subscribe to our mailing list
51,369264,61531,146,3,11,2,0,2,1,1,59,8,59.0,8.0,57,627,32,cowboys wr dez bryant – team done with anthem demonstations comments
52,383478,63900,138,3,11,2,0,2,1,1,33,8,33.0,8.0,54,622,32,fsu opponent preview wake forest comments
53,2163,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
54,366060,60997,138,3,11,2,0,2,1,1,41,8,41.0,8.0,54,603,30,2017 nlds will max scherzer miss game 1 comments
55,402762,67114,140,3,11,2,0,2,1,2,78,86,78.0,43.0,53,696,32,the shocking carol woods coverup police alter records archive 11 sept 2017 the shocking carol woods coverup police alter records – 11 sept 17 archive comments
56,361446,60228,142,3,11,2,0,2,1,1,26,8,26.0,8.0,57,614,30,tailgate – jaguars vs jets comments
57,380136,63343,143,3,11,2,0,2,1,1,40,8,40.0,8.0,59,659,31,2017 get ‘em or don’t sweat ‘em – week 4 comments
